id ,text,label,index,description
259,스트립 화면 열기,/windows/teaching/strip,1,
260,Strip 티칭 켜줘,/windows/teaching/strip,1,
261,스트립 티칭 열어,/windows/teaching/strip,1,
262,Strip 창 띄워,/windows/teaching/strip,1,
263,스트립 교정 시작,/windows/teaching/strip,1,
264,스트립 티칭 창 열어줘 ,/windows/teaching/strip,1,스트립 티칭 창 열기
265,strip 티칭 띄워 ,/windows/teaching/strip,1,strip 창 열기
266,Strip 티칭 창 열어 ,/windows/teaching/strip,1,Strip 티칭 창 열기
267,Strip 교정 시작 ,/windows/teaching/strip,1,Strip 티칭 교정 시작
268,Strip 창 켜. ,/windows/teaching/strip,1,
269,Strip 창 보여줘. ,/windows/teaching/strip,1,
270,티칭창 STRIP 실행,/windows/teaching/strip,1,
271,teaching STRIP,/windows/teaching/strip,1,
272,STRIP 유형 자재 티칭창 켜줘,/windows/teaching/strip,1,
273,스트립 티칭 창 활성화,/windows/teaching/strip,1,
274,strip 창,/windows/teaching/strip,1,
275,Strip 티칭 창,/windows/teaching/strip,1,
276,스트립 티칭 창,/windows/teaching/strip,1,
242,QFN 화면 열어,/windows/teaching/qfn,1,
243,QFN 창 켜줘,/windows/teaching/qfn,1,
244,QFN 티칭 열어,/windows/teaching/qfn,1,
245,QFN 작업창 띄워,/windows/teaching/qfn,1,
246,QFN 티칭 열기 ,/windows/teaching/qfn,1,QFN 티칭 창 열기
247,QFN 창 보여줘 ,/windows/teaching/qfn,1,QFN 창 열기
248,QFN 티칭 창 열기 ,/windows/teaching/qfn,1,QFN 티칭 창 열기
249,QFN 작업창 화면 ,/windows/teaching/qfn,1,QFN 작업창 열기
250,QFN 창 보여줘. ,/windows/teaching/qfn,1,
251,QFN 티칭 켜. ,/windows/teaching/qfn,1,
252,티칭창 QFN 실행,/windows/teaching/qfn,1,
253,teaching QFN,/windows/teaching/qfn,1,
254,QFN 유형 자재 티칭창 켜줘,/windows/teaching/qfn,1,
255,qfn 티칭 창 활성화,/windows/teaching/qfn,1,
256,qfn 창,/windows/teaching/qfn,1,
257,QFN teacing 열어,/windows/teaching/qfn,1,
258,QFN teacing 켜,/windows/teaching/qfn,1,QFN 티칭 창 열기
225,PRS 결과 재티칭,/windows/teaching/prs/reteach,1,
226,PRS 창 재실행,/windows/teaching/prs/reteach,1,
227,PRS 재작업 실행,/windows/teaching/prs/reteach,1,
228,PRS 재티칭 화면 열기 ,/windows/teaching/prs/reteach,1,PRS 결과 기반 재티칭 화면
229,PRS 재티칭 실행 ,/windows/teaching/prs/reteach,1,PRS 결과 기반 재티칭 실행
230,PRS 창 다시 실행,/windows/teaching/prs/reteach,1,
231,PRS 티칭 다시 시작해,/windows/teaching/prs/reteach,1,PRS 결과 기반 재티칭 실행
232,PRS reteaching 해,/windows/teaching/prs/reteach,1,
212,매핑 재티칭 시작,/windows/teaching/mapping/reteach,1,
213,맵핑 리티칭 실행,/windows/teaching/mapping/reteach,1,
214,매핑 샷 재활성화,/windows/teaching/mapping/reteach,1,
215,맵핑 다시 티칭,/windows/teaching/mapping/reteach,1,
216,맵핑 재티칭 창 열어줘 ,/windows/teaching/mapping/reteach,1,맵핑 샷 기반 재티칭 창 열기
217,Mapping 재티칭 실행 ,/windows/teaching/mapping/reteach,1,Mapping 샷 기반 재티칭 실행
218,매핑 reteaching 해줘,/windows/teaching/mapping/reteach,1,
219,mapping reteach 시작,/windows/teaching/mapping/reteach,1,
220,매핑 샷 기반 재티칭 창 열어주세요,/windows/teaching/mapping/reteach,1,현재 매핑 샷 기반 재티칭 창 열기
221,매핑 재티칭 창 띄워줘,/windows/teaching/mapping/reteach,1,매핑 재티칭 창 열기
222,매핑 재티칭 창 열기,/windows/teaching/mapping/reteach,1,매핑 샷 기반 재티칭 창 열기
223,매핑 재티칭 화면 보여줘,/windows/teaching/mapping/reteach,1,매핑 재티칭 화면 표시
224,매핑 샷 재티칭 페이지로,/windows/teaching/mapping/reteach,1,매핑 재티칭 페이지 이동
180,맵핑 윈도우 열기,/windows/teaching/mapping,1,
181,매핑 티칭 열어,/windows/teaching/mapping,1,
182,매핑 작업 시작,/windows/teaching/mapping,1,
183,맵핑 창 열어 ,/windows/teaching/mapping,1,맵핑 티칭 창 열기
184,맵핑 창 띄워줘 ,/windows/teaching/mapping,1,맵핑 창 열기
185,Mapping 티칭 창 열기 ,/windows/teaching/mapping,1,Mapping 티칭 창 열기
186,맵핑 창 보여줘. ,/windows/teaching/mapping,1,
187,맵핑 창 열어 줘. ,/windows/teaching/mapping,1,
188,맵핑 티칭 실행! ,/windows/teaching/mapping,1,
189,티칭창 매핑 실행,/windows/teaching/mapping,1,
190,teaching mapping,/windows/teaching/mapping,1,
191,매핑 유형 자재 티칭창 켜줘,/windows/teaching/mapping,1,
192,teaching mapping 시작해줘,/windows/teaching/mapping,1,
193,매핑 유형 자재 창 보여줘,/windows/teaching/mapping,1,
194,MAPPING 티칭 창 열어줘,/windows/teaching/mapping,1,MAPPING 티칭 창 열기
195,MAPPING 티칭 화면 보여주세요,/windows/teaching/mapping,1,MAPPING 티칭 창 표시
196,매핑 티칭 페이지로 이동,/windows/teaching/mapping,1,MAPPING 티칭 메뉴 이동
197,매핑 티칭창 실행해줘,/windows/teaching/mapping,1,MAPPING 티칭 화면 실행
