id ,text,label,index,description
,Strip Æ¼Äª Ã¢ Pad ÅÇ ROI Ãß°¡,/teaching/Strip/update?propertyName=Roi&value=add,,
,Strip Æ¼Äª Ã¢ Pad ÅÇ ROI »èÁ¦,/teaching/Strip/update?propertyName=Roi&value=delete,,
,Strip Æ¼Äª Ã¢ Pad ÅÇ ROI ÃÊ±âÈ­,/teaching/Strip/update?propertyName=Roi&value=reset,,
,Strip Æ¼Äª Ã¢ findCode,/teaching/strip/update?propertyName=findCodeTeaching&value=1,,
,Strip roi »ý¼º,/teaching/Strip/update?propertyName=Roi&value=reset,,
,Strip Pad ÅÇ ROI Ãß°¡,/teaching/Strip/update?propertyName=Roi&value=add,,
,Strip Æ¼Äª Ã¢ Pad ÅÇ ROI »èÁ¦,/teaching/Strip/update?propertyName=Roi&value=delete,,
,Strip Æ¼Äª Ã¢ Pad ÅÇ ROI ÃÊ±âÈ­,/teaching/Strip/update?propertyName=Roi&value=reset,,
,Strip Æ¼Äª Ã¢ findCode,/teaching/strip/update?propertyName=findCodeTeaching&value=1,,
,½ºÆ®¸³ roi »ý¼º,/teaching/Strip/update?propertyName=Roi&value=reset,,
,½ºÆ®¸³ ROI Ãß°¡,/teaching/Strip/update?propertyName=Roi&value=add,,
,½ºÆ®¸³ Æ¼Äª Ã¢ Pad ÅÇ ROI »èÁ¦,/teaching/Strip/update?propertyName=Roi&value=delete,,
,½ºÆ®¸³ Ã¢ Pad ÅÇ ROI ÃÊ±âÈ­,/teaching/Strip/update?propertyName=Roi&value=reset,,
,½ºÆ®¸³ findCode,/teaching/strip/update?propertyName=findCodeTeaching&value=1,,
